Symbol,NCBI GeneID,Description,Ensembl GeneIDs
BIRC5,332,baculoviral IAP repeat containing 5,ENSG00000089685
TLR2,7097,toll like receptor 2,ENSG00000137462
NOTCH1,4851,notch receptor 1,ENSG00000148400
ATM,472,ATM serine/threonine kinase,ENSG00000149311
EZH2,2146,enhancer of zeste 2 polycomb repressive complex 2 subunit,ENSG00000106462
GSTT1,2952,glutathione S-transferase theta 1,
MET,4233,"MET proto-oncogene, receptor tyrosine kinase",ENSG00000105976
GSTP1,2950,glutathione S-transferase pi 1,ENSG00000084207
CXCL12,6387,C-X-C motif chemokine ligand 12,ENSG00000107562
HLA-A,3105,"major histocompatibility complex, class I, A",ENSG00000206503
F2,2147,"coagulation factor II, thrombin",ENSG00000180210
DRD2,1813,dopamine receptor D2,ENSG00000149295
NR3C1,2908,nuclear receptor subfamily 3 group C member 1,ENSG00000113580
YAP1,10413,Yes1 associated transcriptional regulator,ENSG00000137693
FOXP3,50943,forkhead box P3,ENSG00000049768
PDCD1,5133,programmed cell death 1,ENSG00000188389
SPP1,6696,secreted phosphoprotein 1,ENSG00000118785
NLRP3,114548,NLR family pyrin domain containing 3,ENSG00000162711
CYP2C19,1557,cytochrome P450 family 2 subfamily C member 19,ENSG00000165841
F5,2153,coagulation factor V,ENSG00000198734
HMOX1,3162,heme oxygenase 1,ENSG00000100292
KIT,3815,"KIT proto-oncogene, receptor tyrosine kinase",ENSG00000157404
IL18,3606,interleukin 18,ENSG00000150782
HLA-DQB1,3119,"major histocompatibility complex, class II, DQ beta 1",ENSG00000179344
LRRK2,120892,leucine rich repeat kinase 2,ENSG00000188906
ICAM1,3383,intercellular adhesion molecule 1,ENSG00000090339
CYP2D6,1565,cytochrome P450 family 2 subfamily D member 6 (gene/pseudogene),ENSG00000100197
RELA,5970,"RELA proto-oncogene, NF-kB subunit",ENSG00000173039
HFE,3077,homeostatic iron regulator,ENSG00000010704
PARP1,142,poly(ADP-ribose) polymerase 1,ENSG00000143799
XRCC1,7515,X-ray repair cross complementing 1,ENSG00000073050
GSK3B,2932,glycogen synthase kinase 3 beta,ENSG00000082701
ESR2,2100,estrogen receptor 2,ENSG00000140009
ADRB2,154,adrenoceptor beta 2,ENSG00000169252
RB1,5925,RB transcriptional corepressor 1,ENSG00000139687
HLA-G,3135,"major histocompatibility complex, class I, G",ENSG00000204632
FTO,79068,FTO alpha-ketoglutarate dependent dioxygenase,ENSG00000140718
FAS,355,Fas cell surface death receptor,ENSG00000026103
LGALS3,3958,galectin 3,ENSG00000131981
IL4,3565,interleukin 4,ENSG00000113520
IGF1R,3480,insulin like growth factor 1 receptor,ENSG00000140443
VWF,7450,von Willebrand factor,ENSG00000110799
AGER,177,advanced glycosylation end-product specific receptor,ENSG00000204305
CAV1,857,caveolin 1,ENSG00000105974
MAPK14,1432,mitogen-activated protein kinase 14,ENSG00000112062
APOA1,335,apolipoprotein A1,ENSG00000118137
RET,5979,ret proto-oncogene,ENSG00000165731
AGT,183,angiotensinogen,ENSG00000135744
ITGB1,3688,integrin subunit beta 1,ENSG00000150093
TARDBP,23435,TAR DNA binding protein,ENSG00000120948
SRC,6714,"SRC proto-oncogene, non-receptor tyrosine kinase",ENSG00000197122
MUC1,4582,"mucin 1, cell surface associated",ENSG00000185499
GHRL,51738,ghrelin and obestatin prepropeptide,ENSG00000157017
INS,3630,insulin,ENSG00000254647
LCN2,3934,lipocalin 2,ENSG00000148346
GJB2,2706,gap junction protein beta 2,ENSG00000165474
MLH1,4292,mutL homolog 1,ENSG00000076242
NOD2,64127,nucleotide binding oligomerization domain containing 2,ENSG00000167207
PRNP,5621,prion protein (Kanno blood group),ENSG00000171867
ITGB3,3690,integrin subunit beta 3,ENSG00000259207
SP1,6667,Sp1 transcription factor,ENSG00000185591
CASP3,836,caspase 3,ENSG00000164305
ABCG2,9429,ATP binding cassette subfamily G member 2 (JR blood group),ENSG00000118777
IDH1,3417,isocitrate dehydrogenase (NADP(+)) 1,ENSG00000138413
RAC1,5879,Rac family small GTPase 1,ENSG00000136238
EDN1,1906,endothelin 1,ENSG00000078401
LMNA,4000,lamin A/C,ENSG00000160789
MBL2,4153,mannose binding lectin 2,ENSG00000165471
SOD2,6648,superoxide dismutase 2,ENSG00000291237
APC,324,APC regulator of Wnt signaling pathway,ENSG00000134982
CYP1A1,1543,cytochrome P450 family 1 subfamily A member 1,ENSG00000140465
TP63,8626,tumor protein p63,ENSG00000073282
HBB,3043,hemoglobin subunit beta,ENSG00000244734
APOB,338,apolipoprotein B,ENSG00000084674
CYP2C9,1559,cytochrome P450 family 2 subfamily C member 9,ENSG00000138109
KDR,3791,kinase insert domain receptor,ENSG00000128052
MMP1,4312,matrix metallopeptidase 1,ENSG00000196611
SLC6A3,6531,solute carrier family 6 member 3,ENSG00000142319
MAPK3,5595,mitogen-activated protein kinase 3,ENSG00000102882
CDKN1B,1027,cyclin dependent kinase inhibitor 1B,ENSG00000111276
MIF,4282,macrophage migration inhibitory factor,ENSG00000240972
JUN,3725,"Jun proto-oncogene, AP-1 transcription factor subunit",ENSG00000177606
CFH,3075,complement factor H,ENSG00000000971
AGTR1,185,angiotensin II receptor type 1,ENSG00000144891
FMR1,2332,fragile X messenger ribonucleoprotein 1,ENSG00000102081
TNFSF10,8743,TNF superfamily member 10,ENSG00000121858
ALK,238,ALK receptor tyrosine kinase,ENSG00000171094
CYP3A4,1576,cytochrome P450 family 3 subfamily A member 4,ENSG00000160868
PRKN,5071,parkin RBR E3 ubiquitin protein ligase,ENSG00000185345
MGMT,4255,O-6-methylguanine-DNA methyltransferase,ENSG00000170430
FLT3,2322,fms related receptor tyrosine kinase 3,ENSG00000122025
PTK2,5747,protein tyrosine kinase 2,ENSG00000169398
MKI67,4288,marker of proliferation Ki-67,ENSG00000148773
STAT1,6772,signal transducer and activator of transcription 1,ENSG00000115415
LDLR,3949,low density lipoprotein receptor,ENSG00000130164
NPM1,4869,nucleophosmin 1,ENSG00000181163
BAX,581,"BCL2 associated X, apoptosis regulator",ENSG00000087088
IL1RN,3557,interleukin 1 receptor antagonist,ENSG00000136689
EP300,2033,EP300 lysine acetyltransferase,ENSG00000100393
RHOA,387,ras homolog family member A,ENSG00000067560
PCSK9,255738,proprotein convertase subtilisin/kexin type 9,ENSG00000169174
PSEN1,5663,presenilin 1,ENSG00000080815
CYP19A1,1588,cytochrome P450 family 19 subfamily A member 1,ENSG00000137869
TNFRSF11B,4982,TNF receptor superfamily member 11b,ENSG00000164761
SCN5A,6331,sodium voltage-gated channel alpha subunit 5,ENSG00000183873
RUNX1,861,RUNX family transcription factor 1,ENSG00000159216
TTR,7276,transthyretin,ENSG00000118271
HLA-C,3107,"major histocompatibility complex, class I, C",ENSG00000204525
WT1,7490,WT1 transcription factor,ENSG00000184937
UGT1A1,54658,UDP glucuronosyltransferase family 1 member A1,ENSG00000241635
SERPINA1,5265,serpin family A member 1,ENSG00000197249
HSP90AA1,3320,heat shock protein 90 alpha family class A member 1,ENSG00000080824
ABCA1,19,ATP binding cassette subfamily A member 1,ENSG00000165029
VHL,7428,von Hippel-Lindau tumor suppressor,ENSG00000134086
TCF7L2,6934,transcription factor 7 like 2,ENSG00000148737
CD14,929,CD14 molecule,ENSG00000170458
HGF,3082,hepatocyte growth factor,ENSG00000019991
COL1A1,1277,collagen type I alpha 1 chain,ENSG00000108821
ALDH2,217,aldehyde dehydrogenase 2 family member,ENSG00000111275
F8,2157,coagulation factor VIII,ENSG00000185010
MECP2,4204,methyl-CpG binding protein 2,ENSG00000169057
KCNH2,3757,potassium voltage-gated channel subfamily H member 2,ENSG00000055118
FGF2,2247,fibroblast growth factor 2,ENSG00000138685
FN1,2335,fibronectin 1,ENSG00000115414
NOS2,4843,nitric oxide synthase 2,ENSG00000007171
FGF23,8074,fibroblast growth factor 23,ENSG00000118972
HTT,3064,huntingtin,ENSG00000197386
TLR9,54106,toll like receptor 9,ENSG00000239732
GJA1,2697,gap junction protein alpha 1,ENSG00000152661
HSPA5,3309,heat shock protein family A (Hsp70) member 5,ENSG00000044574
IL1A,3552,interleukin 1 alpha,ENSG00000115008
AHR,196,aryl hydrocarbon receptor,ENSG00000106546
PTPN11,5781,protein tyrosine phosphatase non-receptor type 11,ENSG00000179295
CST3,1471,cystatin C,ENSG00000101439
ALB,213,albumin,ENSG00000163631
LPL,4023,lipoprotein lipase,ENSG00000175445
PPARGC1A,10891,PPARG coactivator 1 alpha,ENSG00000109819
HDAC1,3065,histone deacetylase 1,ENSG00000116478
GDF15,9518,growth differentiation factor 15,ENSG00000130513
CASP8,841,caspase 8,ENSG00000064012
HBA1,3039,hemoglobin subunit alpha 1,ENSG00000206172
E2F1,1869,E2F transcription factor 1,ENSG00000101412
PGR,5241,progesterone receptor,ENSG00000082175
UBC,7316,ubiquitin C,ENSG00000150991
FLT1,2321,fms related receptor tyrosine kinase 1,ENSG00000102755
IFNL3,282617,interferon lambda 3,ENSG00000197110
AURKA,6790,aurora kinase A,ENSG00000087586
SLC2A1,6513,solute carrier family 2 member 1,ENSG00000117394
SOX2,6657,SRY-box transcription factor 2,ENSG00000181449
ERCC2,2068,"ERCC excision repair 2, TFIIH core complex helicase subunit",ENSG00000104884
CETP,1071,cholesteryl ester transfer protein,ENSG00000087237
CXCL10,3627,C-X-C motif chemokine ligand 10,ENSG00000169245
IL2,3558,interleukin 2,ENSG00000109471
CDK1,983,cyclin dependent kinase 1,ENSG00000170312
HTR2A,3356,5-hydroxytryptamine receptor 2A,ENSG00000102468
SMAD4,4089,SMAD family member 4,ENSG00000141646
DRD4,1815,dopamine receptor D4,ENSG00000069696
IL33,90865,interleukin 33,ENSG00000137033
NAT2,10,N-acetyltransferase 2,ENSG00000156006
ABL1,25,"ABL proto-oncogene 1, non-receptor tyrosine kinase",ENSG00000097007
MSH2,4436,mutS homolog 2,ENSG00000095002
PLK1,5347,polo like kinase 1,ENSG00000166851
HRAS,3265,"HRas proto-oncogene, GTPase",ENSG00000174775
CCL5,6352,C-C motif chemokine ligand 5,ENSG00000271503
MAPK8,5599,mitogen-activated protein kinase 8,ENSG00000107643
PRKCA,5578,protein kinase C alpha,ENSG00000154229
RETN,56729,resistin,ENSG00000104918
FGFR2,2263,fibroblast growth factor receptor 2,ENSG00000066468
RAD51,5888,RAD51 recombinase,ENSG00000051180
FOXO3,2309,forkhead box O3,ENSG00000118689
MPO,4353,myeloperoxidase,ENSG00000005381
LEPR,3953,leptin receptor,ENSG00000116678
MCL1,4170,"MCL1 apoptosis regulator, BCL2 family member",ENSG00000143384
SQSTM1,8878,sequestosome 1,ENSG00000161011
CYP3A5,1577,cytochrome P450 family 3 subfamily A member 5,ENSG00000106258
EGF,1950,epidermal growth factor,ENSG00000138798
SMAD3,4088,SMAD family member 3,ENSG00000166949
IGF2,3481,insulin like growth factor 2,ENSG00000167244
MMP3,4314,matrix metallopeptidase 3,ENSG00000149968
FOXO1,2308,forkhead box O1,ENSG00000150907
OPRM1,4988,opioid receptor mu 1,ENSG00000112038
TLR3,7098,toll like receptor 3,ENSG00000164342
MAOA,4128,monoamine oxidase A,ENSG00000189221
ERCC1,2067,"ERCC excision repair 1, endonuclease non-catalytic subunit",ENSG00000012061
BSG,682,basigin (Ok blood group),ENSG00000172270
PROM1,8842,prominin 1,ENSG00000007062
C3,718,complement C3,ENSG00000125730
F3,2152,"coagulation factor III, tissue factor",ENSG00000117525
FGFR1,2260,fibroblast growth factor receptor 1,ENSG00000077782
IGFBP3,3486,insulin like growth factor binding protein 3,ENSG00000146674
TWIST1,7291,twist family bHLH transcription factor 1,ENSG00000122691
CHI3L1,1116,chitinase 3 like 1,ENSG00000133048
DNMT1,1786,DNA methyltransferase 1,ENSG00000130816
APEX1,328,apurinic/apyrimidinic endodeoxyribonuclease 1,ENSG00000100823
BMP2,650,bone morphogenetic protein 2,ENSG00000125845
INSR,3643,insulin receptor,ENSG00000171105
TNFSF11,8600,TNF superfamily member 11,ENSG00000120659
TNFRSF1A,7132,TNF receptor superfamily member 1A,ENSG00000067182
NAMPT,10135,nicotinamide phosphoribosyltransferase,ENSG00000105835
DPP4,1803,dipeptidyl peptidase 4,ENSG00000197635
NF1,4763,neurofibromin 1,ENSG00000196712
TIMP1,7076,TIMP metallopeptidase inhibitor 1,ENSG00000102265
FGFR3,2261,fibroblast growth factor receptor 3,ENSG00000068078
OGG1,4968,8-oxoguanine DNA glycosylase,ENSG00000114026
POU5F1,5460,POU class 5 homeobox 1,ENSG00000204531
DMD,1756,dystrophin,ENSG00000198947
FOXM1,2305,forkhead box M1,ENSG00000111206
KCNQ1,3784,potassium voltage-gated channel subfamily Q member 1,ENSG00000053918
CHEK2,11200,checkpoint kinase 2,ENSG00000183765
LPA,4018,lipoprotein(a),ENSG00000198670
CREBBP,1387,CREB binding lysine acetyltransferase,ENSG00000005339
PLAUR,5329,"plasminogen activator, urokinase receptor",ENSG00000011422
GNAS,2778,GNAS complex locus,ENSG00000087460
HSPB1,3315,heat shock protein family B (small) member 1,ENSG00000106211
C9orf72,203228,C9orf72-SMCR8 complex subunit,ENSG00000147894
IL13,3596,interleukin 13,ENSG00000169194
ADAMTS13,11093,ADAM metallopeptidase with thrombospondin type 1 motif 13,ENSG00000160323
TP73,7161,tumor protein p73,ENSG00000078900
CLU,1191,clusterin,ENSG00000120885
GBA1,2629,glucosylceramidase beta 1,ENSG00000177628
VIM,7431,vimentin,ENSG00000026025
PTPN22,26191,protein tyrosine phosphatase non-receptor type 22,ENSG00000134242
DICER1,23405,"dicer 1, ribonuclease III",ENSG00000100697
CCN2,1490,cellular communication network factor 2,ENSG00000118523
HLA-DQA1,3117,"major histocompatibility complex, class II, DQ alpha 1",ENSG00000196735
CASR,846,calcium sensing receptor,ENSG00000036828
FASLG,356,Fas ligand,ENSG00000117560
P2RX7,5027,purinergic receptor P2X 7,ENSG00000089041
CALCA,796,calcitonin related polypeptide alpha,ENSG00000110680
PCNA,5111,proliferating cell nuclear antigen,ENSG00000132646
BCL2L1,598,BCL2 like 1,ENSG00000171552
KMT2A,4297,lysine methyltransferase 2A,ENSG00000118058
CSNK2A1,1457,casein kinase 2 alpha 1,ENSG00000101266
GRN,2896,granulin precursor,ENSG00000030582
MEFV,4210,"MEFV innate immunity regulator, pyrin",ENSG00000103313
KL,9365,klotho,ENSG00000133116
PTX3,5806,pentraxin 3,ENSG00000163661
FBN1,2200,fibrillin 1,ENSG00000166147
PKM,5315,pyruvate kinase M1/2,ENSG00000067225
CYP2E1,1571,cytochrome P450 family 2 subfamily E member 1,ENSG00000130649
CDK2,1017,cyclin dependent kinase 2,ENSG00000123374
RUNX2,860,RUNX family transcription factor 2,ENSG00000124813
CYP17A1,1586,cytochrome P450 family 17 subfamily A member 1,ENSG00000148795
TYMS,7298,thymidylate synthetase,ENSG00000176890
HSPA4,3308,heat shock protein family A (Hsp70) member 4,ENSG00000170606
CREB1,1385,cAMP responsive element binding protein 1,ENSG00000118260
NRG1,3084,neuregulin 1,ENSG00000157168
G6PD,2539,glucose-6-phosphate dehydrogenase,ENSG00000160211
IDO1,3620,"indoleamine 2,3-dioxygenase 1",ENSG00000131203
S100A9,6280,S100 calcium binding protein A9,ENSG00000163220
NQO1,1728,NAD(P)H quinone dehydrogenase 1,ENSG00000181019
CNR1,1268,cannabinoid receptor 1,ENSG00000118432
BECN1,8678,beclin 1,ENSG00000126581
CALR,811,calreticulin,ENSG00000179218
SHH,6469,sonic hedgehog signaling molecule,ENSG00000164690
MICA,100507436,MHC class I polypeptide-related sequence A,ENSG00000204520
ZEB1,6935,zinc finger E-box binding homeobox 1,ENSG00000148516
CD40,958,CD40 molecule,ENSG00000101017
CD40LG,959,CD40 ligand,ENSG00000102245
FUS,2521,FUS RNA binding protein,ENSG00000089280
STK11,6794,serine/threonine kinase 11,ENSG00000118046
CD36,948,CD36 molecule (CD36 blood group),ENSG00000135218
PPARA,5465,peroxisome proliferator activated receptor alpha,ENSG00000186951
CDC42,998,cell division cycle 42,ENSG00000070831
PIK3R1,5295,phosphoinositide-3-kinase regulatory subunit 1,ENSG00000145675
SNAI1,6615,snail family transcriptional repressor 1,ENSG00000124216
THBS1,7057,thrombospondin 1,ENSG00000137801
BMI1,648,"BMI1 proto-oncogene, polycomb ring finger",ENSG00000168283
OXTR,5021,oxytocin receptor,ENSG00000180914
MMP14,4323,matrix metallopeptidase 14,ENSG00000157227
CYP1B1,1545,cytochrome P450 family 1 subfamily B member 1,ENSG00000138061
DNMT3A,1788,DNA methyltransferase 3 alpha,ENSG00000119772
ANXA2,302,annexin A2,ENSG00000182718
ELAVL1,1994,ELAV like RNA binding protein 1,ENSG00000066044
S100B,6285,S100 calcium binding protein B,ENSG00000160307
GRB2,2885,growth factor receptor bound protein 2,ENSG00000177885
NOTCH3,4854,notch receptor 3,ENSG00000074181
FLG,2312,filaggrin,ENSG00000143631
TGM2,7052,transglutaminase 2,ENSG00000198959
IL2RA,3559,interleukin 2 receptor subunit alpha,ENSG00000134460
TNFSF13B,10673,TNF superfamily member 13b,ENSG00000102524
ENG,2022,endoglin,ENSG00000106991
PRKCD,5580,protein kinase C delta,ENSG00000163932
NRAS,4893,"NRAS proto-oncogene, GTPase",ENSG00000213281
PRKDC,5591,"protein kinase, DNA-activated, catalytic subunit",ENSG00000253729
HAMP,57817,hepcidin antimicrobial peptide,ENSG00000105697
EPAS1,2034,endothelial PAS domain protein 1,ENSG00000116016
DKK1,22943,dickkopf Wnt signaling pathway inhibitor 1,ENSG00000107984
IRS1,3667,insulin receptor substrate 1,ENSG00000169047
XIAP,331,X-linked inhibitor of apoptosis,ENSG00000101966
APOBEC3G,60489,apolipoprotein B mRNA editing enzyme catalytic subunit 3G,ENSG00000239713
HNF4A,3172,hepatocyte nuclear factor 4 alpha,ENSG00000101076
TRAF6,7189,TNF receptor associated factor 6,ENSG00000175104
RIGI,23586,RNA sensor RIG-I,ENSG00000107201
PNPLA3,80339,"patatin like domain 3, 1-acylglycerol-3-phosphate O-acyltransferase",ENSG00000100344
ANGPT2,285,angiopoietin 2,ENSG00000091879
SOX9,6662,SRY-box transcription factor 9,ENSG00000125398
MC4R,4160,melanocortin 4 receptor,ENSG00000166603
KLK3,354,kallikrein related peptidase 3,ENSG00000142515
AMH,268,anti-Mullerian hormone,ENSG00000104899
VCAM1,7412,vascular cell adhesion molecule 1,ENSG00000162692
LGALS1,3956,galectin 1,ENSG00000100097
TGFBR2,7048,transforming growth factor beta receptor 2,ENSG00000163513
EPO,2056,erythropoietin,ENSG00000130427
TOP2A,7153,DNA topoisomerase II alpha,ENSG00000131747
PLAU,5328,"plasminogen activator, urokinase",ENSG00000122861
IL12B,3593,interleukin 12B,ENSG00000113302
YBX1,4904,Y-box binding protein 1,ENSG00000065978
HNF1A,6927,HNF1 homeobox A,ENSG00000135100
TRPV1,7442,transient receptor potential cation channel subfamily V member 1,ENSG00000196689
MYD88,4615,MYD88 innate immune signal transduction adaptor,ENSG00000172936
ITGAV,3685,integrin subunit alpha V,ENSG00000138448
MYCN,4613,"MYCN proto-oncogene, bHLH transcription factor",ENSG00000134323
HP,3240,haptoglobin,ENSG00000257017
RASSF1,11186,Ras association domain family member 1,ENSG00000068028
SMARCA4,6597,SWI/SNF related BAF chromatin remodeling complex subunit ATPase 4,ENSG00000127616
CEBPA,1050,CCAAT enhancer binding protein alpha,ENSG00000245848
CBL,867,Cbl proto-oncogene,ENSG00000110395
FGF21,26291,fibroblast growth factor 21,ENSG00000105550
IL15,3600,interleukin 15,ENSG00000164136
F7,2155,coagulation factor VII,ENSG00000057593
TNNT2,7139,"troponin T2, cardiac type",ENSG00000118194
EZR,7430,ezrin,ENSG00000092820
HAVCR2,84868,hepatitis A virus cellular receptor 2,ENSG00000135077
PDGFRA,5156,platelet derived growth factor receptor alpha,ENSG00000134853
PML,5371,PML nuclear body scaffold,ENSG00000140464
HMGA2,8091,high mobility group AT-hook 2,ENSG00000149948
KLF4,9314,KLF transcription factor 4,ENSG00000136826
HSPA1A,3303,heat shock protein family A (Hsp70) member 1A,ENSG00000204389
FCGR2A,2212,Fc gamma receptor IIa,ENSG00000143226
VCP,7415,valosin containing protein,ENSG00000165280
EGR1,1958,early growth response 1,ENSG00000120738
SCN1A,6323,sodium voltage-gated channel alpha subunit 1,ENSG00000144285
NFKBIA,4792,NFKB inhibitor alpha,ENSG00000100906
GH1,2688,growth hormone 1,ENSG00000259384
RAF1,5894,"Raf-1 proto-oncogene, serine/threonine kinase",ENSG00000132155
TNFAIP3,7128,TNF alpha induced protein 3,ENSG00000118503
MMP7,4316,matrix metallopeptidase 7,ENSG00000137673
APOA5,116519,apolipoprotein A5,ENSG00000110243
TNFRSF1B,7133,TNF receptor superfamily member 1B,ENSG00000028137
GATA3,2625,GATA binding protein 3,ENSG00000107485
SYK,6850,spleen associated tyrosine kinase,ENSG00000165025
SOCS3,9021,suppressor of cytokine signaling 3,ENSG00000184557
PRKAA1,5562,protein kinase AMP-activated catalytic subunit alpha 1,ENSG00000132356
TGFBR1,7046,transforming growth factor beta receptor 1,ENSG00000106799
CHEK1,1111,checkpoint kinase 1,ENSG00000149554
B2M,567,beta-2-microglobulin,ENSG00000166710
POSTN,10631,periostin,ENSG00000133110
CYP21A2,1589,cytochrome P450 family 21 subfamily A member 2,ENSG00000231852
ATP7B,540,ATPase copper transporting beta,ENSG00000123191
PARK7,11315,Parkinsonism associated deglycase,ENSG00000116288
STIM1,6786,stromal interaction molecule 1,ENSG00000167323
ITGB2,3689,integrin subunit beta 2,ENSG00000160255
CYP1A2,1544,cytochrome P450 family 1 subfamily A member 2,ENSG00000140505
PDGFRB,5159,platelet derived growth factor receptor beta,ENSG00000113721
PRKACA,5566,protein kinase cAMP-activated catalytic subunit alpha,ENSG00000072062
PINK1,65018,PTEN induced kinase 1,ENSG00000158828
PIN1,5300,"peptidylprolyl cis/trans isomerase, NIMA-interacting 1",ENSG00000127445
FCGR3A,2214,Fc gamma receptor IIIa,ENSG00000203747
TSHR,7253,thyroid stimulating hormone receptor,ENSG00000165409
SMAD2,4087,SMAD family member 2,ENSG00000175387
ATR,545,ATR checkpoint kinase,ENSG00000175054
CDK4,1019,cyclin dependent kinase 4,ENSG00000135446
LTA,4049,lymphotoxin alpha,ENSG00000226979
WNT5A,7474,Wnt family member 5A,ENSG00000114251
MYH9,4627,myosin heavy chain 9,ENSG00000100345
VEGFC,7424,vascular endothelial growth factor C,ENSG00000150630
ERBB3,2065,erb-b2 receptor tyrosine kinase 3,ENSG00000065361
ADAM17,6868,ADAM metallopeptidase domain 17,ENSG00000151694
IL6R,3570,interleukin 6 receptor,ENSG00000160712
ADM,133,adrenomedullin,ENSG00000148926
RBP4,5950,retinol binding protein 4,ENSG00000138207
BMP4,652,bone morphogenetic protein 4,ENSG00000125378
FBXW7,55294,F-box and WD repeat domain containing 7,ENSG00000109670
FNDC5,252995,fibronectin type III domain containing 5,ENSG00000160097
PAX6,5080,paired box 6,ENSG00000007372
RUNX3,864,RUNX family transcription factor 3,ENSG00000020633
AFP,174,alpha fetoprotein,ENSG00000081051
HDAC2,3066,histone deacetylase 2,ENSG00000196591
